,Restaurant_id,rating
3441,id_1423,4.0 
5093,id_4337,3.5 
5553,id_4323,4.0 
6034,id_7376,4.5 
11346,id_704,
13590,id_8551,
18407,id_4534,4.0 
19993,id_8949,
21724,id_4992,4.5 
26939,id_118,4.0 
29658,id_2654,4.0 
29680,id_6140,3.5 
33227,id_9830,
36092,id_7853,3.5 
36951,id_4209,3.5 
38984,id_1171,
39815,id_7408,4.0 
40017,id_0,
40018,id_1,
40019,id_2,4.0 
40020,id_3,
40021,id_4,4.5 
40022,id_5,
40023,id_6,2.5 
40024,id_7,
40025,id_8,3.5 
40026,id_9,3.5 
40027,id_10,4.0 
40028,id_11,3.5 
40029,id_12,4.0 
40030,id_13,4.0 
40031,id_14,4.0 
40032,id_15,3.0 
40033,id_16,
40034,id_17,4.0 
40035,id_18,3.0 
40036,id_19,
40037,id_20,
40038,id_21,
40039,id_22,4.0 
40040,id_23,3.5 
40041,id_24,
40042,id_25,
40043,id_26,4.0 
40044,id_27,5.0 
40045,id_28,3.5 
40046,id_29,
40047,id_30,4.0 
40048,id_31,5.0 
40049,id_32,
40050,id_33,4.0 
40051,id_34,
40052,id_35,4.0 
40053,id_36,4.5 
40054,id_37,
40055,id_38,4.0 
40056,id_39,
40057,id_40,4.5 
40058,id_41,3.0 
40059,id_42,4.5 
40060,id_43,3.5 
40061,id_44,4.0 
40062,id_45,2.5 
40063,id_46,4.0 
40064,id_47,3.5 
40065,id_48,4.5 
40066,id_49,
40067,id_50,3.0 
40068,id_51,4.5 
40069,id_52,4.0 
40070,id_53,3.0 
40071,id_54,
40072,id_55,3.5 
40073,id_56,2.5 
40074,id_57,4.0 
40075,id_58,4.5 
40076,id_59,4.0 
40077,id_60,4.5 
40078,id_61,4.5 
40079,id_62,
40080,id_63,4.0 
40081,id_64,4.0 
40082,id_65,3.5 
40083,id_66,4.5 
40084,id_67,
40085,id_68,5.0 
40086,id_69,4.0 
40087,id_70,2.5 
40088,id_71,3.0 
40089,id_72,4.0 
40090,id_73,
40091,id_74,5.0 
40092,id_75,4.0 
40093,id_76,3.5 
40094,id_77,3.5 
40095,id_78,4.5 
40096,id_79,3.5 
40097,id_80,4.5 
40098,id_81,5.0 
40099,id_82,4.0 
40100,id_83,3.5 
40101,id_84,4.5 
40102,id_85,3.5 
40103,id_86,
40104,id_87,4.0 
40105,id_88,4.0 
40106,id_89,
40107,id_90,3.5 
40108,id_91,4.5 
40109,id_92,4.5 
40110,id_93,4.5 
40111,id_94,3.5 
40112,id_95,3.5 
40113,id_96,4.5 
40114,id_97,
40115,id_98,4.0 
40116,id_99,4.0 
40117,id_100,2.5 
40118,id_101,4.5 
40119,id_102,4.0 
40120,id_103,4.5 
40121,id_104,4.0 
40122,id_105,
40123,id_106,
40124,id_107,
40125,id_108,4.0 
40126,id_109,3.5 
40127,id_110,
40128,id_111,4.0 
40129,id_112,4.0 
40130,id_113,4.0 
40131,id_114,
40132,id_115,
40133,id_116,4.0 
40134,id_117,4.5 
40135,id_119,4.0 
40136,id_120,3.5 
40137,id_121,5.0 
40138,id_122,4.0 
40139,id_123,
40140,id_124,4.0 
40141,id_125,4.0 
40142,id_126,4.0 
40143,id_127,2.5 
40144,id_128,
40145,id_129,4.5 
40146,id_130,
40147,id_131,2.5 
40148,id_132,4.0 
40149,id_133,4.0 
